date,open,high,low,close,volume,Name
2/8/13,390.4551,393.7283,390.1698,393.0777,6031199,GOOGL
2/11/13,389.5892,391.8915,387.2619,391.6012,4330781,GOOGL
2/12/13,391.2659,394.344,390.0747,390.7403,3714176,GOOGL
2/13/13,390.4551,393.0677,390.375,391.8214,2393946,GOOGL
2/14/13,390.2549,394.7644,389.2739,394.3039,3466971,GOOGL
2/15/13,394.0937,397.0266,393.9285,396.8414,5453980,GOOGL
2/19/13,398.393,403.9035,398.0376,403.8284,5857528,GOOGL
2/20/13,403.0527,404.8895,396.2929,396.6262,5522500,GOOGL
2/21/13,399.399,403.1277,396.0056,398.1628,7008464,GOOGL
2/22/13,400.0296,401.0256,397.2969,400.2549,4103315,GOOGL
2/25/13,401.5512,404.6092,395.6402,395.7804,4602925,GOOGL
2/26/13,397.8975,398.3729,392.5922,395.4601,4399988,GOOGL
2/27/13,397.7974,402.7774,395.9506,400.2899,4047784,GOOGL
2/28/13,400.9506,403.8985,400.9155,401.0006,4526218,GOOGL
3/1/13,399.2989,403.9736,398.4731,403.4981,4346304,GOOGL
3/4/13,403.0527,411.8314,402.9025,411.1628,5545624,GOOGL
3/5/13,414.8795,420.495,414.8644,419.7213,8079065,GOOGL
3/6/13,420.933,422.422,414.8194,416.1057,5739956,GOOGL
3/7/13,417.447,418.7283,415.2048,416.7143,4101301,GOOGL
3/8/13,417.6673,417.8774,412.9375,416.1758,5817848,GOOGL
3/11/13,416.2608,420.2699,416.1658,417.8274,3186118,GOOGL
3/12/13,415.7704,416.3609,412.2468,414.2188,4012146,GOOGL
3/13/13,414.3639,415.7603,411.5662,413.0677,3279147,GOOGL
3/14/13,413.9085,413.9085,409.1037,411.1808,3298723,GOOGL
3/15/13,409.6592,410.5602,407.0767,407.5582,6191734,GOOGL
3/18/13,402.9025,406.7864,401.1357,404.2989,3672831,GOOGL
3/19/13,406.0256,410.0346,403.6282,406.0657,4191219,GOOGL
3/20/13,408.8234,409.1638,406.1257,407.7614,2924120,GOOGL
3/21/13,406.0506,408.8671,405.3299,406.0356,2930649,GOOGL
3/22/13,407.7774,408.0276,405.2248,405.5602,2973343,GOOGL
3/25/13,406.6112,410.0246,403.8134,405.2248,3410398,GOOGL
3/26/13,407.1567,407.4069,404.2989,406.6162,2381243,GOOGL
3/27/13,403.7433,403.9035,401.0657,401.7313,4322068,GOOGL
3/28/13,402.397,403.0877,397.0466,397.4911,4570853,GOOGL
4/1/13,397.9025,401.5261,397.0216,400.9956,3610549,GOOGL
4/2/13,402.6723,407.8224,402.402,406.9265,4078671,GOOGL
4/3/13,407.1367,407.5071,400.7343,403.5041,3473233,GOOGL
4/4/13,402.5271,403.2779,396.0457,397.9325,4889914,GOOGL
4/5/13,393.423,393.8885,388.5882,391.9165,6860927,GOOGL
4/8/13,389.7644,390.1648,384.5842,387.8124,5658378,GOOGL
4/9/13,388.1377,392.2669,386.9416,389.2138,4310166,GOOGL
4/10/13,391.8515,396.5712,388.388,395.4851,3953171,GOOGL
4/11/13,396.8364,396.9466,392.422,395.5902,4053279,GOOGL
4/12/13,396.391,396.4471,391.8565,395.42,3269389,GOOGL
4/15/13,393.368,398.8985,388.8985,391.356,4900346,GOOGL
4/16/13,393.6883,398.398,392.352,397.0817,3480468,GOOGL
4/17/13,393.7684,395.8179,389.4391,391.6713,4069487,GOOGL
4/18/13,393.0677,393.2929,381.0107,383.34,6601455,GOOGL
4/19/13,384.9646,402.1217,383.5131,400.3349,11593628,GOOGL
4/22/13,400.7003,402.381,387.8875,400.4571,5760454,GOOGL
4/23/13,400.9005,408.1578,400.5802,404.3539,4579994,GOOGL
4/24/13,404.4591,409.409,404.404,407.1337,3654448,GOOGL
4/25/13,408.5331,408.6432,404.2188,404.9545,3980422,GOOGL
4/26/13,404.2038,404.2739,398.6883,401.1107,4970304,GOOGL
4/29/13,402.0266,411.7613,401.9015,409.9395,4595912,GOOGL
4/30/13,409.9095,414.2338,409.2488,412.6973,4608663,GOOGL
5/1/13,412.0416,412.7724,408.5882,410.6252,2906961,GOOGL
5/2/13,410.4601,417.6923,409.9345,415.2198,4032460,GOOGL
5/3/13,418.8985,423.8234,418.418,423.2829,5019702,GOOGL
5/6/13,424.5541,431.3559,424.5541,431.2058,4278140,GOOGL
5/7/13,431.9365,432.3669,425.7603,429.0436,3914058,GOOGL
5/8/13,428.9285,437.3769,426.8815,437.2518,4930476,GOOGL
5/9/13,435.8554,440.2698,434.5491,436.1757,4396519,GOOGL
5/10/13,438.0927,440.7103,436.5161,440.5551,3791566,GOOGL
5/13/13,439.8844,441.6762,437.1272,439.2038,2893167,GOOGL
5/14/13,439.1888,444.7893,439.0086,443.9936,3154697,GOOGL
